IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
130.162.173.62,443,443,TRUE,FRA,Europe,Frankfurt,309,7.81
132.226.213.218,443,443,TRUE,FRA,Europe,Frankfurt,342,7.8
132.226.215.123,443,443,TRUE,FRA,Europe,Frankfurt,309,7.76
130.162.182.54,443,443,TRUE,FRA,Europe,Frankfurt,489,7.75
143.47.252.214,443,443,TRUE,FRA,Europe,Frankfurt,321,7.72
164.152.26.70,2052,443,TRUE,ORD,North America,Chicago,272,7.72
143.47.227.26,443,443,TRUE,FRA,Europe,Frankfurt,394,7.7
84.8.157.169,443,443,TRUE,FRA,Europe,Frankfurt,307,7.64
158.180.15.223,443,443,TRUE,FRA,Europe,Frankfurt,177,7.62
130.61.14.198,443,443,TRUE,FRA,Europe,Frankfurt,281,7.6
152.70.155.147,8443,8443,TRUE,LAX,North America,Los Angeles,396,7.6
132.226.208.158,443,443,TRUE,FRA,Europe,Frankfurt,207,7.59
130.162.191.231,443,443,TRUE,FRA,Europe,Frankfurt,345,7.58
144.21.34.23,443,443,TRUE,FRA,Europe,Frankfurt,345,7.56
165.1.79.60,8443,443,TRUE,SJC,North America,San Jose,322,7.55
141.147.66.45,443,443,TRUE,FRA,Europe,Frankfurt,261,7.51
130.162.178.245,443,443,TRUE,FRA,Europe,Frankfurt,366,7.49
141.147.64.41,443,443,TRUE,FRA,Europe,Frankfurt,241,7.48
40.233.70.7,8443,443,TRUE,YYZ,North America,Toronto,390,7.44
143.47.184.55,443,443,TRUE,FRA,Europe,Frankfurt,312,7.44
152.70.155.147,2083,2083,TRUE,LAX,North America,Los Angeles,360,7.43
130.162.176.196,443,443,TRUE,FRA,Europe,Frankfurt,255,7.43
79.72.84.51,443,443,TRUE,FRA,Europe,Frankfurt,287,7.41
130.162.172.216,443,443,TRUE,FRA,Europe,Frankfurt,432,7.38
130.61.8.132,443,443,TRUE,FRA,Europe,Frankfurt,281,7.36
84.8.155.143,443,443,TRUE,FRA,Europe,Frankfurt,326,7.34
132.226.135.81,443,443,TRUE,FRA,Europe,Frankfurt,366,7.31
193.123.59.248,443,443,TRUE,FRA,Europe,Frankfurt,439,7.3
130.162.169.148,443,443,TRUE,FRA,Europe,Frankfurt,370,7.28
141.147.61.116,8443,443,TRUE,FRA,Europe,Frankfurt,392,7.27
130.61.170.78,443,443,TRUE,FRA,Europe,Frankfurt,176,7.25
130.61.181.61,2096,443,TRUE,FRA,Europe,Frankfurt,256,7.24
130.162.59.22,443,443,TRUE,FRA,Europe,Frankfurt,355,7.23
158.180.42.186,443,443,TRUE,FRA,Europe,Frankfurt,235,7.17
141.147.118.29,443,443,TRUE,FRA,Europe,Frankfurt,327,7.16
141.147.91.189,443,443,TRUE,FRA,Europe,Frankfurt,262,7.05
132.226.131.180,443,443,TRUE,FRA,Europe,Frankfurt,365,6.93
141.147.72.177,443,443,TRUE,FRA,Europe,Frankfurt,297,6.92
141.147.113.31,443,443,TRUE,FRA,Europe,Frankfurt,192,6.92
68.233.127.163,8443,443,TRUE,YUL,North America,Montréal,302,6.9
164.152.26.70,2086,443,TRUE,ORD,North America,Chicago,252,6.88
150.230.115.30,443,443,TRUE,FRA,Europe,Frankfurt,291,6.88
150.230.117.214,443,443,TRUE,FRA,Europe,Frankfurt,404,6.85
144.21.60.199,443,443,TRUE,FRA,Europe,Frankfurt,356,6.85
143.47.247.56,443,443,TRUE,FRA,Europe,Frankfurt,520,6.85
132.226.131.4,443,443,TRUE,FRA,Europe,Frankfurt,313,6.85
143.47.253.94,443,443,TRUE,FRA,Europe,Frankfurt,323,6.83
192.9.157.76,443,8443,TRUE,SJC,North America,San Jose,305,6.82
143.47.242.240,443,443,TRUE,FRA,Europe,Frankfurt,347,6.82
89.168.116.187,443,443,TRUE,FRA,Europe,Frankfurt,246,6.8
192.9.137.193,8443,443,TRUE,SJC,North America,San Jose,225,6.74
132.226.130.143,443,443,TRUE,FRA,Europe,Frankfurt,290,6.74
130.162.166.205,443,443,TRUE,FRA,Europe,Frankfurt,309,6.74
152.70.155.147,2087,2087,TRUE,LAX,North America,Los Angeles,386,6.74
141.148.231.88,443,443,TRUE,FRA,Europe,Frankfurt,193,6.73
79.72.69.38,443,443,TRUE,FRA,Europe,Frankfurt,324,6.73
193.123.81.105,443,443,TRUE,MXP,Europe,Milan,246,6.66
193.122.197.111,443,443,TRUE,IAD,North America,Ashburn,359,6.66
129.146.220.190,443,443,TRUE,LAX,North America,Los Angeles,354,6.57
129.146.248.140,443,443,TRUE,LAX,North America,Los Angeles,448,6.56
158.179.207.182,2053,443,TRUE,ARN,Europe,Stockholm,356,6.56
143.47.255.192,443,443,TRUE,FRA,Europe,Frankfurt,254,6.56
152.67.137.243,443,443,TRUE,FRA,Europe,Frankfurt,419,6.55
150.136.169.72,443,443,TRUE,IAD,North America,Ashburn,247,6.54
84.8.149.173,443,443,TRUE,FRA,Europe,Frankfurt,235,6.53
192.9.158.188,443,443,TRUE,SJC,North America,San Jose,231,6.47
143.47.239.222,443,443,TRUE,FRA,Europe,Frankfurt,307,6.46
79.72.71.141,443,443,TRUE,FRA,Europe,Frankfurt,241,6.44
143.47.242.161,443,443,TRUE,FRA,Europe,Frankfurt,354,6.43
