IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.74.155.26,80,80,FALSE,SIN,Asia Pacific,Singapore,229 ms,7920 kB/s
164.152.34.166,80,80,FALSE,GRU,South America,S?o Paulo,388 ms,5208 kB/s
193.123.252.170,8880,8880,FALSE,ICN,Asia Pacific,Seoul,118 ms,8434 kB/s
193.122.1.0,8443,8443,TRUE,FRA,Europe,Frankfurt,305 ms,9213 kB/s
47.251.54.234,8443,8443,TRUE,SJC,North America,San Jose,222 ms,7540 kB/s
141.144.198.113,8443,8443,TRUE,AMS,Europe,Amsterdam,251 ms,6845 kB/s
130.61.181.61,8443,8443,TRUE,FRA,Europe,Frankfurt,299 ms,6082 kB/s
130.61.107.238,8443,8443,TRUE,FRA,Europe,Frankfurt,307 ms,6021 kB/s
158.101.199.249,8443,8443,TRUE,AMS,Europe,Amsterdam,302 ms,6002 kB/s
158.101.169.13,8443,8443,TRUE,FRA,Europe,Frankfurt,267 ms,5982 kB/s
144.24.161.142,8443,8443,TRUE,FRA,Europe,Frankfurt,315 ms,5864 kB/s
8.211.2.2,8443,8443,TRUE,FRA,Europe,Frankfurt,308 ms,5695 kB/s
144.24.169.81,8443,8443,TRUE,FRA,Europe,Frankfurt,302 ms,5579 kB/s
130.162.226.138,8443,8443,TRUE,FRA,Europe,Frankfurt,302 ms,5558 kB/s
150.230.20.156,8443,8443,TRUE,AMS,Europe,Amsterdam,308 ms,5524 kB/s
47.245.142.16,8443,8443,TRUE,FRA,Europe,Frankfurt,313 ms,5520 kB/s
8.211.195.135,8443,8443,TRUE,LHR,Europe,London,313 ms,5438 kB/s
8.208.11.119,8443,8443,TRUE,LHR,Europe,London,310 ms,5336 kB/s
143.47.243.144,8443,8443,TRUE,LHR,Europe,London,311 ms,4891 kB/s
141.147.85.167,8443,8443,TRUE,LHR,Europe,London,308 ms,4659 kB/s
193.122.107.147,443,443,TRUE,ICN,Asia Pacific,Seoul,67 ms,22178 kB/s
131.186.33.175,443,443,TRUE,NRT,Asia Pacific,Tokyo,209 ms,17216 kB/s
138.2.61.180,443,443,TRUE,KIX,Asia Pacific,Osaka,96 ms,14010 kB/s
152.67.212.141,443,443,TRUE,ICN,Asia Pacific,Seoul,112 ms,13572 kB/s
140.238.158.238,443,443,TRUE,YYZ,North America,Toronto,260 ms,6383 kB/s
150.230.115.53,443,443,TRUE,FRA,Europe,Frankfurt,286 ms,6241 kB/s
130.162.184.173,443,443,TRUE,LHR,Europe,London,319 ms,6156 kB/s
143.47.242.195,443,443,TRUE,LHR,Europe,London,265 ms,5780 kB/s
144.24.37.146,443,443,TRUE,LAX,North America,Los Angeles,215 ms,5740 kB/s
140.238.88.47,443,443,TRUE,LHR,Europe,London,301 ms,5527 kB/s
