IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
132.226.199.198,443,443,TRUE,FRA,Europe,Frankfurt,390,7.15
141.147.53.100,443,443,TRUE,FRA,Europe,Frankfurt,370,7.11
141.147.55.148,443,443,TRUE,FRA,Europe,Frankfurt,351,7.1
143.47.187.99,443,443,TRUE,FRA,Europe,Frankfurt,361,7.08
150.230.151.129,443,443,TRUE,FRA,Europe,Frankfurt,229,7.08
68.233.127.163,8443,443,TRUE,YYZ,North America,Toronto,315,7.07
79.72.84.51,443,443,TRUE,FRA,Europe,Frankfurt,213,7.07
89.168.77.99,443,443,TRUE,FRA,Europe,Frankfurt,251,7.07
141.147.61.116,2053,443,TRUE,FRA,Europe,Frankfurt,379,7.07
144.21.42.77,443,443,TRUE,FRA,Europe,Frankfurt,171,7.03
84.235.174.141,443,443,TRUE,FRA,Europe,Frankfurt,232,7.03
130.162.215.227,443,443,TRUE,FRA,Europe,Frankfurt,271,7.02
129.159.203.148,443,443,TRUE,FRA,Europe,Frankfurt,253,7.01
164.152.26.70,2086,443,TRUE,ORD,North America,Chicago,226,7
89.168.73.242,443,443,TRUE,FRA,Europe,Frankfurt,281,7
152.70.191.102,443,443,TRUE,FRA,Europe,Frankfurt,380,6.99
144.21.48.154,443,443,TRUE,FRA,Europe,Frankfurt,176,6.98
141.147.69.125,443,443,TRUE,FRA,Europe,Frankfurt,268,6.97
130.162.242.31,443,443,TRUE,FRA,Europe,Frankfurt,235,6.95
150.230.149.208,443,443,TRUE,FRA,Europe,Frankfurt,201,6.93
130.162.166.205,443,443,TRUE,FRA,Europe,Frankfurt,251,6.93
130.61.181.61,8443,443,TRUE,FRA,Europe,Frankfurt,329,6.92
193.123.33.189,443,443,TRUE,FRA,Europe,Frankfurt,411,6.91
138.2.145.214,443,443,TRUE,FRA,Europe,Frankfurt,319,6.89
158.101.190.151,443,443,TRUE,FRA,Europe,Frankfurt,250,6.88
193.123.62.51,443,443,TRUE,FRA,Europe,Frankfurt,406,6.86
130.162.161.50,443,443,TRUE,FRA,Europe,Frankfurt,167,6.86
141.147.72.177,443,443,TRUE,FRA,Europe,Frankfurt,344,6.86
138.2.156.20,443,443,TRUE,FRA,Europe,Frankfurt,227,6.85
130.162.182.54,443,443,TRUE,FRA,Europe,Frankfurt,229,6.84
143.47.177.255,443,443,TRUE,FRA,Europe,Frankfurt,354,6.83
132.226.131.4,443,443,TRUE,FRA,Europe,Frankfurt,238,6.82
129.159.192.185,443,443,TRUE,FRA,Europe,Frankfurt,219,6.8
130.162.169.34,443,443,TRUE,FRA,Europe,Frankfurt,333,6.79
40.233.70.7,8443,443,TRUE,YYZ,North America,Toronto,464,6.79
129.159.243.249,443,443,TRUE,FRA,Europe,Frankfurt,287,6.77
141.147.77.185,443,443,TRUE,FRA,Europe,Frankfurt,423,6.76
141.144.204.193,443,443,TRUE,FRA,Europe,Frankfurt,256,6.75
143.47.176.52,443,443,TRUE,FRA,Europe,Frankfurt,361,6.75
84.8.157.169,443,443,TRUE,FRA,Europe,Frankfurt,318,6.74
144.24.170.163,443,443,TRUE,FRA,Europe,Frankfurt,360,6.74
152.67.137.243,443,443,TRUE,FRA,Europe,Frankfurt,523,6.73
141.144.196.177,443,443,TRUE,FRA,Europe,Frankfurt,338,6.72
141.147.28.61,443,443,TRUE,FRA,Europe,Frankfurt,310,6.71
132.226.131.180,443,443,TRUE,FRA,Europe,Frankfurt,315,6.71
84.235.170.25,443,443,TRUE,FRA,Europe,Frankfurt,319,6.7
150.230.20.215,443,443,TRUE,FRA,Europe,Frankfurt,216,6.69
143.47.239.222,443,443,TRUE,FRA,Europe,Frankfurt,270,6.68
84.235.173.3,443,443,TRUE,FRA,Europe,Frankfurt,261,6.67
79.72.70.12,443,443,TRUE,FRA,Europe,Frankfurt,188,6.67
141.144.193.68,443,443,TRUE,FRA,Europe,Frankfurt,296,6.66
144.24.171.161,443,443,TRUE,FRA,Europe,Frankfurt,461,6.65
141.144.202.160,443,443,TRUE,FRA,Europe,Frankfurt,330,6.64
130.162.173.62,443,443,TRUE,FRA,Europe,Frankfurt,219,6.63
144.24.169.248,443,443,TRUE,FRA,Europe,Frankfurt,517,6.62
130.61.170.78,443,443,TRUE,FRA,Europe,Frankfurt,286,6.61
132.145.232.70,443,443,TRUE,FRA,Europe,Frankfurt,249,6.61
129.151.204.91,443,443,TRUE,ARN,Europe,Stockholm,378,6.59
141.144.204.88,443,443,TRUE,FRA,Europe,Frankfurt,169,6.59
143.47.188.98,443,443,TRUE,FRA,Europe,Frankfurt,298,6.56
138.2.172.36,443,443,TRUE,FRA,Europe,Frankfurt,358,6.55
84.8.153.23,443,443,TRUE,FRA,Europe,Frankfurt,366,6.51
132.226.209.162,443,443,TRUE,FRA,Europe,Frankfurt,336,6.51
141.147.66.45,443,443,TRUE,FRA,Europe,Frankfurt,366,6.51
141.147.60.188,443,443,TRUE,FRA,Europe,Frankfurt,280,6.5
144.21.37.38,443,443,TRUE,FRA,Europe,Frankfurt,270,6.5
144.24.177.106,443,443,TRUE,FRA,Europe,Frankfurt,480,6.5
144.24.161.142,8443,443,TRUE,FRA,Europe,Frankfurt,310,6.5
193.122.55.106,443,443,TRUE,FRA,Europe,Frankfurt,221,6.48
79.72.69.38,443,443,TRUE,FRA,Europe,Frankfurt,226,6.47
158.101.176.56,443,443,TRUE,FRA,Europe,Frankfurt,316,6.45
130.162.169.251,443,443,TRUE,FRA,Europe,Frankfurt,262,6.45
132.145.54.84,8443,443,TRUE,LHR,Europe,London,248,6.44
193.123.69.77,443,443,TRUE,DXB,Middle East,Dubai,164,6.43
140.238.94.36,443,443,TRUE,FRA,Europe,Frankfurt,447,6.4
141.147.62.157,443,443,TRUE,FRA,Europe,Frankfurt,374,6.39
193.123.58.85,443,443,TRUE,FRA,Europe,Frankfurt,456,6.38
152.70.50.113,443,443,TRUE,FRA,Europe,Frankfurt,341,6.37
143.47.253.94,443,443,TRUE,FRA,Europe,Frankfurt,342,6.37
140.238.94.36,443,443,TRUE,FRA,Europe,Frankfurt,235,6.37
130.162.165.237,443,443,TRUE,FRA,Europe,Frankfurt,209,6.36
138.2.129.66,443,443,TRUE,FRA,Europe,Frankfurt,281,6.35
143.47.247.53,443,443,TRUE,FRA,Europe,Frankfurt,171,6.35
143.47.243.144,8443,443,TRUE,LHR,Europe,London,237,6.32
139.185.34.131,443,443,TRUE,DXB,Middle East,Dubai,720,6.22
168.138.165.174,443,443,TRUE,SIN,Asia Pacific,Singapore,109,6.22
84.235.166.79,443,443,TRUE,FRA,Europe,Frankfurt,277,6.22
130.162.178.2,443,443,TRUE,FRA,Europe,Frankfurt,243,6.21
158.178.152.72,443,443,TRUE,FRA,Europe,Frankfurt,204,6.21
143.47.249.137,443,443,TRUE,FRA,Europe,Frankfurt,185,6.15
130.162.191.231,443,443,TRUE,FRA,Europe,Frankfurt,254,6.14
84.8.149.212,443,443,TRUE,FRA,Europe,Frankfurt,269,6.11
143.47.243.144,2053,443,TRUE,LHR,Europe,London,161,6.07
143.47.227.26,443,443,TRUE,FRA,Europe,Frankfurt,303,6.06
204.216.105.106,8443,8443,TRUE,YYZ,North America,Toronto,248,6.01
89.168.122.44,443,443,TRUE,FRA,Europe,Frankfurt,223,5.97
